slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
normal_001.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_002.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_003.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_004.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_005.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_006.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_007.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_008.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_009.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_010.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_011.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_012.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_013.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_014.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_015.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_016.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_017.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_018.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_019.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_020.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_021.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_022.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_023.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_024.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_025.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_026.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_027.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_028.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_029.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_030.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_031.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_032.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_033.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_034.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_035.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_036.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_037.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_038.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_039.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_040.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_041.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_042.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_043.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_044.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_045.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_046.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_047.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_048.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_049.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_050.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_051.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_052.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_053.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
normal_054.tif,0,processed,6,8,7,4,False,none,none,100.0,16.0,8,6,250,True,four_pt
